timestamp,latitudeE7,longitudeE7
2023-09-22T05:35:34.608Z,372398450,-804068918
2023-09-22T05:37:35.607Z,372398448,-804068947
2023-09-22T05:39:36.601Z,372398449,-804068946
2023-09-22T05:41:37.575Z,372398453,-804068906
2023-09-22T05:43:37.603Z,372398447,-804068948
2023-09-22T05:45:39.614Z,372398440,-804068941
2023-09-22T05:52:18.938Z,372398431,-804068990
2023-09-22T06:22:16.021Z,372398590,-804068855
2023-09-22T06:37:26.922Z,372398590,-804068855
2023-09-22T06:44:51.260Z,372398590,-804068855
2023-09-22T06:52:05.380Z,372398590,-804068855
2023-09-22T07:21:54.836Z,372398590,-804068855
2023-09-22T07:29:17.491Z,372398590,-804068855
2023-09-22T07:51:44.275Z,372398590,-804068855
2023-09-22T07:52:57.648Z,372398441,-804068948
2023-09-22T08:21:32.456Z,372398858,-804068780
2023-09-22T08:42:19.142Z,372398858,-804068780
2023-09-22T08:51:21.813Z,372398858,-804068780
2023-09-22T09:21:11.318Z,372398858,-804068780
2023-09-22T09:37:49.664Z,372398858,-804068780
2023-09-22T09:51:00.766Z,372398858,-804068780
2023-09-22T09:52:22.770Z,372398858,-804068780
2023-09-22T10:22:19.800Z,372398858,-804068780
2023-09-22T10:28:35.087Z,372398858,-804068780
2023-09-22T10:33:41.280Z,372398858,-804068780
2023-09-22T10:48:36.843Z,372399106,-804069617
2023-09-22T10:52:09.105Z,372399106,-804069617
2023-09-22T11:21:57.423Z,372399106,-804069617
2023-09-22T11:30:14.540Z,372399106,-804069617
2023-09-22T11:40:14.568Z,372399106,-804069617
2023-09-22T11:50:14.567Z,372399106,-804069617
2023-09-22T11:51:46.905Z,372399106,-804069617
2023-09-22T11:59:31.629Z,372399106,-804069617
2023-09-22T11:59:52.308Z,372398436,-804068923
2023-09-22T12:05:30.593Z,372398427,-804068919
2023-09-22T12:05:52.028Z,372398435,-804068926
2023-09-22T12:06:17.881Z,372398435,-804068926
2023-09-22T12:08:19.331Z,372398434,-804068932
2023-09-22T12:10:19.362Z,372398454,-804068863
2023-09-22T12:12:20.398Z,372398393,-804068870
2023-09-22T12:21:36.282Z,372398363,-804068889
2023-09-22T12:27:30.477Z,372398363,-804068889
2023-09-22T12:32:40.325Z,372398383,-804068913
2023-09-22T12:33:01.452Z,372398398,-804068807
2023-09-22T12:35:02.417Z,372398374,-804068824
2023-09-22T12:37:02.423Z,372398248,-804068393
2023-09-22T12:38:52.011Z,372393640,-804067411
2023-09-22T12:39:16.295Z,372396422,-804070433
2023-09-22T12:39:44.295Z,372398821,-804073086
2023-09-22T12:40:21.321Z,372401523,-804076191
2023-09-22T12:41:08.917Z,372404186,-804082618
2023-09-22T12:42:19.013Z,372404764,-804090551
2023-09-22T12:43:34.264Z,372405493,-804095640
2023-09-22T12:43:51.295Z,372405717,-804096760
2023-09-22T12:44:19.048Z,372405445,-804100572
2023-09-22T12:44:47.066Z,372403661,-804103849
2023-09-22T12:45:14.379Z,372401391,-804106936
2023-09-22T12:45:42.324Z,372400008,-804110932
2023-09-22T12:46:10.318Z,372398498,-804115313
2023-09-22T12:46:37.827Z,372397209,-804117689
2023-09-22T12:47:06.769Z,372395970,-804119401
2023-09-22T12:47:34.279Z,372394726,-804124691
2023-09-22T12:48:02.160Z,372392350,-804126225
2023-09-22T12:48:30.159Z,372389468,-804125016
2023-09-22T12:48:58.196Z,372387191,-804120744
2023-09-22T12:49:25.510Z,372383398,-804123115
2023-09-22T12:49:52.922Z,372384545,-804129649
2023-09-22T12:50:20.529Z,372384465,-804132447
2023-09-22T12:50:48.174Z,372383448,-804137097
2023-09-22T12:51:15.608Z,372383661,-804141974
2023-09-22T12:51:43.149Z,372384668,-804142685
2023-09-22T12:52:10.871Z,372377932,-804140278
2023-09-22T12:52:39.242Z,372372843,-804139997
2023-09-22T12:53:06.673Z,372373048,-804145465
2023-09-22T12:53:34.144Z,372373016,-804149513
2023-09-22T12:54:01.752Z,372372674,-804152351
2023-09-22T12:54:30.379Z,372372327,-804158736
2023-09-22T12:54:57.691Z,372371957,-804162657
2023-09-22T12:55:25.131Z,372372179,-804165101
2023-09-22T12:55:53.632Z,372372680,-804170710
2023-09-22T12:56:21.305Z,372369491,-804173095
2023-09-22T12:56:49.300Z,372366340,-804176114
2023-09-22T12:57:16.619Z,372363216,-804176763
2023-09-22T12:57:44.311Z,372361584,-804180533
2023-09-22T12:58:03.296Z,372360113,-804182161
2023-09-22T12:58:32.261Z,372356461,-804185295
2023-09-22T12:59:00.488Z,372353767,-804188395
2023-09-22T12:59:28.313Z,372351458,-804191109
2023-09-22T12:59:57.013Z,372348913,-804192572
2023-09-22T13:00:12.339Z,372348134,-804193546
2023-09-22T13:00:39.929Z,372346380,-804194896
2023-09-22T13:01:07.320Z,372344786,-804197408
2023-09-22T13:01:34.908Z,372342622,-804201390
2023-09-22T13:02:02.145Z,372341152,-804205372
2023-09-22T13:02:30.321Z,372340900,-804208928
2023-09-22T13:02:57.558Z,372339295,-804211676
2023-09-22T13:03:24.911Z,372336588,-804212668
2023-09-22T13:03:52.382Z,372336148,-804215133
2023-09-22T13:04:08.331Z,372335741,-804216167
2023-09-22T13:04:40.963Z,372335110,-804217196
2023-09-22T13:05:09.479Z,372334057,-804215957
2023-09-22T13:05:41.061Z,372333063,-804215463
2023-09-22T13:06:01.247Z,372333264,-804215629
2023-09-22T13:06:21.216Z,372333012,-804215554
2023-09-22T13:06:41.184Z,372333090,-804215562
2023-09-22T13:07:01.356Z,372333085,-804215573
2023-09-22T13:07:21.324Z,372333024,-804215560
2023-09-22T13:07:41.393Z,372333075,-804215535
2023-09-22T13:08:01.464Z,372333079,-804215639
2023-09-22T13:08:21.434Z,372333138,-804215547
2023-09-22T13:08:41.400Z,372333046,-804215557
2023-09-22T13:09:01.471Z,372333149,-804215657
2023-09-22T13:09:21.543Z,372333199,-804215569
2023-09-22T13:09:41.613Z,372332991,-804215598
2023-09-22T13:10:01.581Z,372333090,-804215584
2023-09-22T13:10:21.652Z,372333218,-804215508
2023-09-22T13:10:41.582Z,372333097,-804215551
2023-09-22T13:11:01.690Z,372333011,-804215566
2023-09-22T13:11:21.761Z,372333052,-804215579
2023-09-22T13:11:41.729Z,372333106,-804215561
2023-09-22T13:12:01.696Z,372333058,-804215543
2023-09-22T13:12:21.768Z,372333108,-804215561
2023-09-22T13:12:41.839Z,372333061,-804215694
2023-09-22T13:13:01.909Z,372333140,-804215590
2023-09-22T13:13:21.943Z,372333063,-804215526
2023-09-22T13:13:41.912Z,372333179,-804215631
2023-09-22T13:14:01.983Z,372333010,-804215598
2023-09-22T13:14:22.053Z,372332992,-804215574
2023-09-22T13:14:42.122Z,372332905,-804215624
2023-09-22T13:15:02.090Z,372333037,-804215531
2023-09-22T13:15:22.060Z,372333130,-804215567
2023-09-22T13:15:42.130Z,372333055,-804215560
2023-09-22T13:16:02.098Z,372333066,-804215550
2023-09-22T13:16:22.170Z,372333118,-804215674
